conversation_id,possibly_sensitive,id,author_id,context_annotations,source,created_at,reply_settings,text,edit_history_tweet_ids,referenced_tweets,lang,in_reply_to_user_id,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,entities.annotations,entities.urls,attachments.media_keys,entities.hashtags,geo.place_id,geo.coordinates.type,geo.coordinates.coordinates,entities.cashtags
1476115779992973315,False,1477067029811060738,2792729370,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit - Government/Education'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043140126', 'name': 'Greenpeace'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1103294729079349250', 'name': 'Nature', 'description': 'Nature'}}]",Twitter for Android,2021-12-31T23:59:57.000Z,everyone,"@ZeynepGcbilmez1 @Debbiealiyoung @Greenpeace If anything they are slaves to their own hormones and biology. 
When a cow, sheep, goat or pig is cycling and their is a male nearby they think of nothing much except breeding.",['1477067029811060738'],"[{'type': 'replied_to', 'id': '1477056800587452426'}]",en,1177565794470965248,5,True,2022-01-01 00:29:57+00:00,"[{'start': 17, 'end': 32, 'username': 'Debbiealiyoung', 'id': '1055690967108517890'}, {'start': 33, 'end': 44, 'username': 'Greenpeace', 'id': '3459051'}]",0,1,0,0,,,,,,,,
1469998336396513280,False,1477067029211271168,1273840144009670656,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847548225712119808', 'name': 'Holidays', 'description': 'Holidays'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1291095284756357120', 'name': 'Cultural events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1296381531510849536', 'name': 'New Years Eve\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1471923163168600068', 'name': 'A look back as the world welcomed 2022 ✨', 'description': '2021 was another year spent in a global pandemic but there were some bright spots of celebrations.\n\n➡️  See how the world ushered in the new year and finally said goodbye to 2021, from Sydney to Honolulu.'}}]",Twitter for Android,2021-12-31T23:59:56.000Z,everyone,@USacchitanand Wish you a very happy new year. All the best for your cycling passion and especially for your 600km target and many more to come in 2022.,['1477067029211271168'],"[{'type': 'replied_to', 'id': '1470411239289339904'}]",en,195062758,5,True,2022-01-01 00:29:56+00:00,"[{'start': 0, 'end': 14, 'username': 'USacchitanand', 'id': '195062758'}]",1,0,2,0,,,,,,,,
1477061335884177408,False,1477067028653608960,346820815,,Twitter for Android,2021-12-31T23:59:56.000Z,everyone,"@SamCarroll0 Sam Carroll, a non bike owner who wore a cycling top to work nearly every day. Sam Carroll, everyone.",['1477067028653608960'],"[{'type': 'replied_to', 'id': '1477066371288768512'}]",en,907930794387275779,5,True,2022-01-01 00:29:56+00:00,"[{'start': 0, 'end': 12, 'username': 'SamCarroll0', 'id': '907930794387275779'}]",0,0,1,0,"[{'start': 13, 'end': 23, 'probability': 0.9778, 'type': 'Person', 'normalized_text': 'Sam Carroll'}, {'start': 92, 'end': 102, 'probability': 0.9762, 'type': 'Person', 'normalized_text': 'Sam Carroll'}]",,,,,,,
1477067026808315904,False,1477067026808315904,2461938410,,Twitter for Android,2021-12-31T23:59:56.000Z,everyone,"目覚ましに少し。今年も一年無事に走れますように
Strava でアクティビティをしました。https://t.co/uLjHbRM4mz https://t.co/5FCjyu7YEg",['1477067026808315904'],,ja,,5,True,2022-01-01 00:29:56+00:00,,0,0,1,0,"[{'start': 24, 'end': 29, 'probability': 0.3949, 'type': 'Product', 'normalized_text': 'Strava'}]","[{'start': 45, 'end': 68, 'url': 'https://t.co/uLjHbRM4mz', 'expanded_url': 'https://strava.app.link/xtufpCISrmb', 'display_url': 'strava.app.link/xtufpCISrmb', 'status': 200, 'unwound_url': 'https://strava.app.link/xtufpCISrmb'}, {'start': 69, 'end': 92, 'url': 'https://t.co/5FCjyu7YEg', 'expanded_url': 'https://twitter.com/hirotomo79/status/1477067026808315904/photo/1', 'display_url': 'pic.twitter.com/5FCjyu7YEg', 'media_key': '3_1477067024254013444'}]",['3_1477067024254013444'],,,,,
1477067018327183367,False,1477067018327183367,4161692427,,Twitter for iPhone,2021-12-31T23:59:54.000Z,everyone,"This year I:

-graduated
-Broke the poverty cycle in my family
-Found a “mutha” who loves and supports me just as I am
-Stood up for myself @ a job that wasn’t treating me well
-Got a new car
-Made new friends @__rampaige_ @rahelity @tchambll 

Yes it was hard, but I’m so blessed",['1477067018327183367'],,en,,5,True,2022-01-01 00:29:54+00:00,"[{'start': 210, 'end': 222, 'username': '__rampaige_', 'id': '155275185'}, {'start': 233, 'end': 242, 'username': 'tchambll', 'id': '731176356004798464'}]",0,3,16,0,,,,,,,,
1477067004829962247,False,1477067009313718281,1404453319783944197,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847548225712119808', 'name': 'Holidays', 'description': 'Holidays'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1291095284756357120', 'name': 'Cultural events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1296381531510849536', 'name': 'New Years Eve\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '156', 'name': 'Cities', 'description': 'Cities around the world'}, 'entity': {'id': '907978531350519809', 'name': 'New York City', 'description': 'New York City'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1471923163168600068', 'name': 'A look back as the world welcomed 2022 ✨', 'description': '2021 was another year spent in a global pandemic but there were some bright spots of celebrations.\n\n➡️  See how the world ushered in the new year and finally said goodbye to 2021, from Sydney to Honolulu.'}}]",Twitter for Android,2021-12-31T23:59:52.000Z,everyone,"Where do you see a bright future, when the past still haunts us. We fall for it all the time

Yet they continue to bite that apple in the big apple every year! The Devils Fruit basket &amp; the cycle of ignorance &amp; sensitive feelings happens all over again. 

But, yeah happy new year",['1477067009313718281'],"[{'type': 'replied_to', 'id': '1477067007803727872'}]",en,1404453319783944197,5,True,2022-01-01 00:29:52+00:00,,0,0,0,0,"[{'start': 164, 'end': 175, 'probability': 0.4458, 'type': 'Other', 'normalized_text': 'Devils Fruit'}]",,,,,,,
1477067008135110662,False,1477067008135110662,311383585,,Twitter for Android,2021-12-31T23:59:51.000Z,everyone,"RT @Valmird81069512: Contagem regressiva para o começo do fim de um ciclo nefasto, motivo para esperançar dias melhores. 

Muita saúde pra…",['1477067008135110662'],"[{'type': 'retweeted', 'id': '1477049692869517315'}]",pt,,5,True,2022-01-01 00:29:51+00:00,"[{'start': 3, 'end': 19, 'username': 'Valmird81069512', 'id': '1103288561074343937'}]",5,0,0,0,,,,,,,,
1477067006520168449,False,1477067006520168449,4135313171,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}]",Twitter for Android,2021-12-31T23:59:51.000Z,everyone,"RT @mauriciomacri: Empieza un nuevo año y con él un nuevo ciclo. Es un momento oportuno para pensar en nuestro futuro, el de los argentinos…",['1477067006520168449'],"[{'type': 'retweeted', 'id': '1477052512452571137'}]",es,,5,True,2022-01-01 00:29:51+00:00,"[{'start': 3, 'end': 17, 'username': 'mauriciomacri', 'id': '24900072'}]",3566,0,0,0,,,,,,,,
1477067005660475403,False,1477067005660475403,2985850271,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839569431277658113', 'name': 'Mauricio Macri', 'description': 'Running for president in the 2019 Argentina Elections. '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}]",Twitter Web App,2021-12-31T23:59:51.000Z,everyone,"RT @mauriciomacri: Empieza un nuevo año y con él un nuevo ciclo. Es un momento oportuno para pensar en nuestro futuro, el de los argentinos…",['1477067005660475403'],"[{'type': 'retweeted', 'id': '1477052512452571137'}]",es,,5,True,2022-01-01 00:29:51+00:00,"[{'start': 3, 'end': 17, 'username': 'mauriciomacri', 'id': '24900072'}]",3566,0,0,0,,,,,,,,
1477067004246990851,False,1477067004246990851,2797135566,,Twitter for iPhone,2021-12-31T23:59:51.000Z,everyone,Crazy bc growing up my fav part of riding a dirt bike was the kickstart..,['1477067004246990851'],,en,,5,True,2022-01-01 00:29:51+00:00,,0,0,0,0,,,,,,,,
