id,author_id,created_at,lang,text,conversation_id,possibly_sensitive,reply_settings,geo_place_id,data_attachments_media_keys,data_entities_hashtags_start,data_entities_hashtags_end,data_entities_hashtags_tag,data_entities_cashtags_start,data_entities_cashtags_end,data_entities_cashtags_tag,data_entities_annotations_start,data_entities_annotations_end,data_entities_annotations_probability,data_entities_annotations_type,data_entities_annotations_normalized_text,data_entities_urls_start,data_entities_urls_end,data_entities_urls_url,data_entities_urls_expanded_url,data_entities_urls_display_url,data_entities_urls_media_key,data_entities_mentions_start,data_entities_mentions_end,data_entities_mentions_username,data_referenced_tweets_type,data_referenced_tweets_id,data_edit_history_tweet_ids,data_public_metrics_retweet_count,data_public_metrics_reply_count,data_public_metrics_like_count,data_public_metrics_quote_count,data_edit_controls_edits_remaining,data_edit_controls_is_edit_eligible,data_edit_controls_editable_until,author_name,author_username,author_created_at,author_description,author_location,author_pinned_tweet_id,author_profile_image_url,author_url,author_verified,author_public_metrics_followers_count,author_public_metrics_following_count,author_public_metrics_tweet_count,author_public_metrics_listed_count,author_protected,media_key,media_type,media_url,media_public_metrics,media_duration_ms,media_height,media_alt_text,media_width,media_variants,media_preview_image_url,place_full_name,place_contained_within,place_country,place_country_code,place_name,place_place_type,place_geo_type,place_geo_bbox,place_geo_properties
1586847864986247168,858094452887433216,2022-10-30 22:29:47,pt,"Ganhamos!
#LulaPresidente
#ForaBolsonaro

Obrigado Nordeste!",1586847864986247168,False,everyone,,,"[10, 26]","[25, 40]","['LulaPresidente', 'ForaBolsonaro']",,,,"[11, 27, 51]","[24, 39, 58]","[0.9563, 0.7195, 0.4766]","['Person', 'Person', 'Organization']","['LulaPresidente', 'ForaBolsonaro', 'Nordeste']",,,,,,,,,,,,['1586847864986247168'],0,0,1,0,5,True,2022-10-30T22:59:47.000Z,Sério mesmo? 🇧🇷,Ro_gambles,2017-04-28T23:03:55,"São paulino roxo, amo minha família e me divirto com meus filhos",,,https://pbs.twimg.com/profile_images/1260342866242609159/nWkYK4t2_normal.jpg,,False,23,109,357,0,False,,,,,,,,,,,,,,,,,,,
1586847873718697985,866709704717864961,2022-10-30 22:29:49,pt,"Chorando se foi, quem um dia só me fez choraaaaaaaaar #ForaBolsonaro",1586847873718697985,False,everyone,,,[54],[68],['ForaBolsonaro'],,,,[55],[67],[0.7686],['Person'],['ForaBolsonaro'],,,,,,,,,,,,['1586847873718697985'],0,0,0,0,5,True,2022-10-30T22:59:49.000Z,Leticia ✨,blessedLeticia,2017-05-22T17:37:51,"Abençoada, iluminada, protegida, amparada, guiada e sempre escoltada por Deus 💗.                              Davi 👑💙",,1036921820027473921,https://pbs.twimg.com/profile_images/1575934785242923026/STH7n5OT_normal.jpg,https://t.co/lGSSL8kS0n,False,1338,545,73164,1,False,,,,,,,,,,,,,,,,,,,
1586847873118994432,1895666778,2022-10-30 22:29:49,pt,"@deluca_joao @henrymizzy @jonesmanoel_PCB @lanadeholanda Olha, nem acabou a eleições e vem a arrogância. Olha o pesadelo acabando, é isto que temos que comemorar. #ForaBolsonaro",1586705839863341056,False,everyone,,,[163],[177],['ForaBolsonaro'],,,,[164],[176],[0.7723],['Person'],['ForaBolsonaro'],,,,,,,"[0, 13, 25, 42]","[12, 24, 41, 56]","['deluca_joao', 'henrymizzy', 'jonesmanoel_PCB', 'lanadeholanda']",['replied_to'],['1586767348337360897'],['1586847873118994432'],0,0,0,0,5,False,2022-10-30T22:59:49.000Z,Nazaré Terra 🇧🇷🌹,NazarTerra,2013-09-23T01:10:35,"'Onde não puderes amar, não te demores'. Frida Kahlo 🌹 Médica, Antifascista e Brizolista 🌹#ForaBolsonaro","Rio de Janeiro, Brasil",1400787723074609161,https://pbs.twimg.com/profile_images/1577099210842832899/Q-1-iv0G_normal.jpg,,False,469,1114,6649,2,False,,,,,,,,,,,,,,,,,,,
1586847877577560066,1493567439770107909,2022-10-30 22:29:50,pt,"RT @tvexpert: @nordeste131 Lula Virou, Caralho,
mas Não Podemos esquecer da Pistoleira e do Golpe da PRF.

#ForaBolsonaro 
#BolsonaroNaCade…",1586847877577560066,False,everyone,,,[107],[121],['ForaBolsonaro'],,,,"[27, 101, 108, 124]","[30, 103, 120, 138]","[0.9867, 0.638, 0.7215, 0.9759]","['Person', 'Organization', 'Person', 'Person']","['Lula', 'PRF', 'ForaBolsonaro', 'BolsonaroNaCade']",,,,,,,"[3, 14]","[12, 26]","['tvexpert', 'nordeste131']",['retweeted'],['1586841737829519363'],['1586847877577560066'],26,0,0,0,5,False,2022-10-30T22:59:50.000Z,Henrique Collavizza Neto,chuckColla,2022-02-15T12:47:02,chuckcolla,,,https://pbs.twimg.com/profile_images/1494069768818679818/T-Ah9mZr_normal.jpg,,False,2,142,231,0,False,,,,,,,,,,,,,,,,,,,
1586847875182510084,1226905545082310657,2022-10-30 22:29:50,pt,RT @Alicebrooklyn7: Além de miliciano é ditador #ForaBolsonaro,1586847875182510084,False,everyone,,,[48],[62],['ForaBolsonaro'],,,,[49],[61],[0.7918],['Person'],['ForaBolsonaro'],,,,,,,[3],[18],['Alicebrooklyn7'],['retweeted'],['1586809787441991681'],['1586847875182510084'],2,0,0,0,5,False,2022-10-30T22:59:50.000Z,𝔅𝔯𝔬𝔬𝔨𝔩𝔶𝔫 💫,Juliana94896282,2020-02-10T16:28:04,Eu por mim msm sempre🤞🥰 minha sobrinha minha vida,,1549187813110939653,https://pbs.twimg.com/profile_images/1562408663410696193/GmQmxlJ1_normal.jpg,,False,510,303,4019,0,False,,,,,,,,,,,,,,,,,,,
1586847878521159681,1282505357437304837,2022-10-30 22:29:51,pt,"TRABALHADOR PRESTA ATENÇÃO, O BOLSONARO SO GOVERNA PRA PATRÃO!! #ForaBolsonaro #lula2022
#LulaPresidente1️⃣3️⃣",1586847878521159681,False,everyone,,,"[64, 79, 89]","[78, 88, 110]","['ForaBolsonaro', 'lula2022', 'LulaPresidente1️⃣3️⃣']",,,,"[30, 65, 80]","[38, 77, 87]","[0.6933, 0.7659, 0.6403]","['Person', 'Person', 'Person']","['BOLSONARO', 'ForaBolsonaro', 'lula2022']",,,,,,,,,,,,['1586847878521159681'],0,0,0,0,5,True,2022-10-30T22:59:51.000Z,ingrid,itsingridxs_,2020-07-13T02:41:44,"- favs: lana del rey, vinnie hacker 🫀",em lugar nenhum ,1567733270074327042,https://pbs.twimg.com/profile_images/1586439247619301378/ppwqPVX6_normal.jpg,,False,97,103,1069,1,False,,,,,,,,,,,,,,,,,,,
1586847895738793984,212995319,2022-10-30 22:29:55,pt,"@PedroHallal
Parabéns Doutor Pedro!
Moro em SP, mas estava na torcida pelo @EduardoLeite_!
E ainda na torcida pela DEMOCRACIA!
Falta pouco! 
#FORABOLSONARO
✨🇧🇷🌏✨",1586847895738793984,False,everyone,,,[141],[155],['FORABOLSONARO'],,,,"[29, 36, 44]","[33, 39, 45]","[0.4344, 0.943, 0.899]","['Person', 'Person', 'Place']","['Pedro', 'Moro', 'SP']",,,,,,,"[0, 75]","[12, 89]","['PedroHallal', 'EduardoLeite_']",,,['1586847895738793984'],0,0,0,0,5,True,2022-10-30T22:59:55.000Z,Margarete A. 🇧🇷🌏💉Democracia,Maga_Alves,2010-11-07T17:24:22,,,,https://pbs.twimg.com/profile_images/1134926328514457600/t2k30jrp_normal.jpg,,False,103,653,3887,0,False,,,,,,,,,,,,,,,,,,,
1586847901157818373,1524195020269625344,2022-10-30 22:29:56,pt,"RT @luizpeccinin: Quem chorou de tristeza em 2018 está chorando de alegria em 2022. Viva o Brasil! Viva a democracia! 

#LulaPresidente2022…",1586847901157818373,False,everyone,,,[120],[139],['LulaPresidente2022'],,,,"[91, 121]","[96, 138]","[0.9343, 0.9721]","['Place', 'Person']","['Brasil', 'LulaPresidente2022']",,,,,,,[3],[16],['luizpeccinin'],['retweeted'],['1586846578249195523'],['1586847901157818373'],21,0,0,0,5,False,2022-10-30T22:59:56.000Z,Almir,Almir_del,2022-05-11T01:11:34,,,,https://pbs.twimg.com/profile_images/1571990937215160320/Im5Y5gdW_normal.jpg,,False,132,150,24773,0,False,,,,,,,,,,,,,,,,,,,
1586847911064788994,1542965379462569985,2022-10-30 22:29:58,et,Oleeee oleeeoleeee olaaaaa lulaaaa lulaaaa #Lula #vivabrazil #ForaBolsonaro 🇧🇷🇧🇷🇧🇷,1586847911064788994,False,everyone,,,"[43, 49, 61]","[48, 60, 75]","['Lula', 'vivabrazil', 'ForaBolsonaro']",,,,,,,,,,,,,,,,,,,,['1586847911064788994'],0,0,0,0,5,True,2022-10-30T22:59:58.000Z,pedro luis salazar,pedroluis241090,2022-07-01T20:17:03,Odontologo,,,https://pbs.twimg.com/profile_images/1576381119720816641/Quz32ZXM_normal.jpg,,False,12,146,131,0,False,,,,,,,,,,,,,,,,,,,
1586847910502735872,4472641881,2022-10-30 22:29:58,pt,@choquei FORA LIXOOOOOOO!!!! SEU ESTRUME VAI PARA A PUTA QUE TE PARIU SEU VERM3 !!!!!!!!!!!!!!! #LulaPresidente1️⃣3️⃣ #Eleicoes2022 #ForaBolsonaro #ForaBolsonaroVagabundo,1586847634144329733,False,everyone,,,"[96, 118, 132, 147]","[117, 131, 146, 170]","['LulaPresidente1️⃣3️⃣', 'Eleicoes2022', 'ForaBolsonaro', 'ForaBolsonaroVagabundo']",,,,"[133, 148]","[145, 169]","[0.8614, 0.8408]","['Person', 'Person']","['ForaBolsonaro', 'ForaBolsonaroVagabundo']",,,,,,,[0],[8],['choquei'],['replied_to'],['1586847634144329733'],['1586847910502735872'],0,0,0,0,5,False,2022-10-30T22:59:58.000Z,mia,MiaFerri_,2015-12-13T18:04:20,i spoke to the devil in Miami he said everything would be fine,Rio de Janeiro,,https://pbs.twimg.com/profile_images/1483139541401837573/Hiziz85j_normal.jpg,,False,238,194,16716,0,False,,,,,,,,,,,,,,,,,,,
