id,author_id,created_at,lang,text,conversation_id,possibly_sensitive,reply_settings,geo_place_id,data_entities_hashtags_start,data_entities_hashtags_end,data_entities_hashtags_tag,data_entities_cashtags_start,data_entities_cashtags_end,data_entities_cashtags_tag,data_entities_annotations_start,data_entities_annotations_end,data_entities_annotations_probability,data_entities_annotations_type,data_entities_annotations_normalized_text,data_entities_urls_start,data_entities_urls_end,data_entities_urls_url,data_entities_urls_expanded_url,data_entities_urls_display_url,data_entities_urls_media_key,data_entities_mentions_start,data_entities_mentions_end,data_entities_mentions_username,data_referenced_tweets_type,data_referenced_tweets_id,data_edit_history_tweet_ids,data_public_metrics_retweet_count,data_public_metrics_reply_count,data_public_metrics_like_count,data_public_metrics_quote_count,data_edit_controls_edits_remaining,data_edit_controls_is_edit_eligible,data_edit_controls_editable_until,author_name,author_username,author_created_at,author_description,author_location,author_pinned_tweet_id,author_profile_image_url,author_url,author_verified,author_public_metrics_followers_count,author_public_metrics_following_count,author_public_metrics_tweet_count,author_public_metrics_listed_count,author_protected,media_key,media_type,media_url,media_public_metrics,media_duration_ms,media_height,media_alt_text,media_width,media_variants,media_preview_image_url,place_full_name,place_contained_within,place_country,place_country_code,place_name,place_place_type,place_geo_type,place_geo_bbox,place_geo_properties,media_public_metrics_view_count,media_variants_bit_rate,media_variants_content_type,media_variants_url,data_attachments_media_keys
1586855409196965889,1270166905538650112,2022-10-30 22:59:46,qme,#ForaBolsonaro #JairpraCadeia https://t.co/52balAuu1l,1586855409196965889,False,following,,"[0, 15]","[14, 29]","['ForaBolsonaro', 'JairpraCadeia']",,,,,,,,,[30],[53],['https://t.co/52balAuu1l'],['https://twitter.com/onebabyalien/status/1586855409196965889/photo/1'],['pic.twitter.com/52balAuu1l'],['3_1586855406197956608'],,,,,,['1586855409196965889'],1,0,5,0,5,True,2022-10-30T23:29:46.000Z,FerNandha ♡,onebabyalien,2020-06-09T01:32:56,"""O diabo pode citar as Escrituras quando isso lhe convém"". 
(William Shakespeare)

#ForaBolsonaro","FimdoMundo, Santa Catarina",1506287078426005507,https://pbs.twimg.com/profile_images/1539064082757738497/W2xyyg1S_normal.jpg,,False,244,977,14073,0,False,3_1586855406197956608,photo,https://pbs.twimg.com/media/FgWklZxWYAAxOgj.jpg,,,,,720.0,,,,,,,,,,,,,[],[],[],
1586855408152494080,4042676849,2022-10-30 22:59:46,es,RT @17octubre_: Bolsonaro el primer presidente de Brasil en no lograr la reelección. #LulaPresidente2022 #ForaBolsonaro,1586855408152494080,False,everyone,,"[85, 105]","[104, 119]","['LulaPresidente2022', 'ForaBolsonaro']",,,,"[16, 50, 86, 106]","[24, 55, 103, 118]","[0.9896, 0.9417, 0.966, 0.9445]","['Person', 'Place', 'Person', 'Person']","['Bolsonaro', 'Brasil', 'LulaPresidente2022', 'ForaBolsonaro']",,,,,,,[3],[14],['17octubre_'],['retweeted'],['1586847322675224582'],['1586855408152494080'],1,0,0,0,5,False,2022-10-30T23:29:46.000Z,sandra,1969sandragring,2015-10-26T00:50:32,profesora. madre. peronista. kirchnerista. viva mi Argentina. no hay pais como el nuestro.🇦🇷✌,"Córdoba, Argentina",,https://pbs.twimg.com/profile_images/1579318318816690177/rUfe3_9C_normal.jpg,,False,903,1000,9864,1,False,,,,,,,,,,,,,,,,,,,,,,,,
1586855414741831681,892514847249887232,2022-10-30 22:59:47,pt,"Gritos &amp; Gritos na cidade
#ForaBolsonaro",1586855414741831681,False,everyone,,[30],[44],['ForaBolsonaro'],,,,,,,,,,,,,,,,,,,,['1586855414741831681'],0,0,3,0,5,True,2022-10-30T23:29:47.000Z,Everton Souza,evertonsouzala,2017-08-01T22:38:16,,"Sao Paulo, Brazil",1571223120383467525,https://pbs.twimg.com/profile_images/1587251491403882496/8je-SggJ_normal.jpg,,False,3991,5003,7375,1,False,,,,,,,,,,,,,,,,,,,,,,,,
1586855411407167488,816456540496560128,2022-10-30 22:59:47,pt,"RT @sep_marcio: Acabouuuuuu...

Saaaaaaai desgraça. 

#ForaBolsonaro",1586855411407167488,False,everyone,,[54],[68],['ForaBolsonaro'],,,,[55],[67],[0.7589],['Person'],['ForaBolsonaro'],,,,,,,[3],[14],['sep_marcio'],['retweeted'],['1586855336123801600'],['1586855411407167488'],1,0,0,0,5,False,2022-10-30T23:29:47.000Z,BirdSEP,CParruco,2017-01-04T01:29:43,"Palmeirense, biólogo ornitólogo, marido da Amanda, pai da Lilith e fã de Raul e Belchior!","São Paulo, Brasil",1513685756186869767,https://pbs.twimg.com/profile_images/1544327975264452610/ep_cJSa9_normal.jpg,,False,210,705,8751,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1586855418462179329,1555525339509624834,2022-10-30 22:59:48,und,#ForaBolsonaro 🎉 https://t.co/X7yaxIXYdx,1586855418462179329,False,everyone,,[0],[14],['ForaBolsonaro'],,,,,,,,,[17],[40],['https://t.co/X7yaxIXYdx'],['https://twitter.com/enbydextrian/status/1586855418462179329/photo/1'],['pic.twitter.com/X7yaxIXYdx'],['3_1586855416805326848'],,,,,,['1586855418462179329'],0,0,1,0,5,True,2022-10-30T23:29:48.000Z,enbydextrous,enbydextrian,2022-08-05T12:06:47,"Polite menace. They/them. 
🏳️‍🌈♠️💜🤍💛🏴‍☠️",,,https://pbs.twimg.com/profile_images/1555535126678872065/PXjHs65e_normal.jpg,,False,8,63,221,0,False,3_1586855416805326848,photo,https://pbs.twimg.com/media/FgWkmBSWAAAWK5M.jpg,,,,,554.0,,,,,,,,,,,,,[],[],[],
1586855418097274881,1419608057903030282,2022-10-30 22:59:48,pt,"Apesar de você
Amanhã há de ser
Outro dia
Você vai ter que ver
A manhã renascer
E esbanjar poesia

#LulaPresidente2022 #ForaBolsonaro",1586855418097274881,False,everyone,,"[99, 119]","[118, 133]","['LulaPresidente2022', 'ForaBolsonaro']",,,,"[100, 120]","[117, 132]","[0.9494, 0.8328]","['Person', 'Person']","['LulaPresidente2022', 'ForaBolsonaro']",,,,,,,,,,,,['1586855418097274881'],0,0,2,0,5,True,2022-10-30T23:29:48.000Z,Gioele Levantaci,GioeleLevantaci,2021-07-26T10:38:42,"Salentino del '97, innamorato del sud.
🟥Attivista in CGIL. 
☀️Rappresentante degli universitari per Udu.
📚Appassionato di filosofia e sociologia del diritto.","Lecce, Apulia",,https://pbs.twimg.com/profile_images/1537761249328521216/bqv5oZYK_normal.jpg,,False,64,188,42,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1586855416448917504,1351168770031628292,2022-10-30 22:59:48,pt,"#LulaPresidente  #Eleicoes2022 
#ForaBolsonaro 
VAI TOMAR NO CU BOLSONARO 
O BEM VENCEU 
A ESPERANÇA VOLTOU https://t.co/Reop1Ek0ia",1586855416448917504,False,everyone,,"[0, 17, 32]","[15, 30, 46]","['LulaPresidente', 'Eleicoes2022', 'ForaBolsonaro']",,,,"[1, 33]","[14, 45]","[0.9228, 0.8069]","['Person', 'Person']","['LulaPresidente', 'ForaBolsonaro']","[108, 108]","[131, 131]","['https://t.co/Reop1Ek0ia', 'https://t.co/Reop1Ek0ia']","['https://twitter.com/NarfOrtsac/status/1586855416448917504/photo/1', 'https://twitter.com/NarfOrtsac/status/1586855416448917504/photo/1']","['pic.twitter.com/Reop1Ek0ia', 'pic.twitter.com/Reop1Ek0ia']","['3_1586855037074030594', '3_1586855060146888707']",,,,,,['1586855416448917504'],0,0,0,0,5,True,2022-10-30T23:29:48.000Z,🏳️‍🌈 #RenaissanceTour 🏳️‍🌈,NarfOrtsac,2021-01-18T14:05:27,"Aqui desde 2003, porém 
𝒮𝑒𝓃𝒹𝑜 𝒸𝒶𝓃𝒸𝑒𝓁𝒶𝒹𝑜 𝓅𝑜𝓇 𝓅𝑒𝓃𝓈𝒶𝓇 𝒹𝒾𝒻𝑒𝓇𝑒𝓃𝓉𝑒 pelo twitter 

36 ANOS
PERDIDO NA VIDA
BR / RN

🔺24/06/2018🔺",Não é da sua conta/BR,1469014053515407368,https://pbs.twimg.com/profile_images/1586914805197279233/pHsG10Jm_normal.jpg,,False,662,662,41151,0,False,3_1586855037074030594,photo,https://pbs.twimg.com/media/FgWkP6rWQAIvRtW.png,,,,,244.0,,,,,,,,,,,,,[],[],[],
1586855423205851139,386497675,2022-10-30 22:59:49,fr,"Allez dégage. 
#ForaBolsonaro https://t.co/ffXjhuDyUA",1586855423205851139,False,everyone,,[15],[29],['ForaBolsonaro'],,,,,,,,,[30],[53],['https://t.co/ffXjhuDyUA'],['https://twitter.com/juliensalingue/status/1586855423205851139/photo/1'],['pic.twitter.com/ffXjhuDyUA'],['3_1586855417921028097'],,,,,,['1586855423205851139'],13,2,59,0,5,True,2022-10-30T23:29:49.000Z,Julien Salingue,juliensalingue,2011-10-07T11:46:20,"Ferme sur le fond, souple sur la forme.",Paris,,https://pbs.twimg.com/profile_images/1277361138213289984/GiOBrVCv_normal.jpg,http://t.co/iQoTeIX6wQ,False,32360,345,6019,276,False,3_1586855417921028097,photo,https://pbs.twimg.com/media/FgWkmFcWQAEGaeT.jpg,,,,,828.0,,,,,,,,,,,,,[],[],[],
1586855423126257664,21760672,2022-10-30 22:59:49,en,"All the far right will mourn Bolsonaro losing 😀
All anti fascists can be heartened by the ""Trump of the Tropics"" defeat. Bolsonaro may dream of a Jan 6 #CapitolRiots scenario.
Best to all Brazilian anti fascists at this testing time. 
#ForaBolsonaro https://t.co/YZq4qKS5bm",1586855423126257664,False,everyone,,"[152, 235]","[165, 249]","['CapitolRiots', 'ForaBolsonaro']",,,,"[29, 91, 121, 153, 236]","[37, 95, 129, 164, 248]","[0.9744, 0.7783, 0.977, 0.4741, 0.7388]","['Person', 'Person', 'Person', 'Organization', 'Person']","['Bolsonaro', 'Trump', 'Bolsonaro', 'CapitolRiots', 'ForaBolsonaro']",[250],[273],['https://t.co/YZq4qKS5bm'],['https://twitter.com/uaf/status/1586855423126257664/photo/1'],['pic.twitter.com/YZq4qKS5bm'],['3_1586855420773240832'],,,,,,['1586855423126257664'],20,0,32,0,5,True,2022-10-30T23:29:49.000Z,UAF,uaf,2009-02-24T15:03:13,Unite Against Fascism campaigns against the far right eg 'Tommy Robinson' & other racist & fascist individuals & organisations. Follow @uaf & @AntiRacismDay,UK,1588321862601576449,https://pbs.twimg.com/profile_images/1339173528101416960/9pmUDEHu_normal.jpg,https://t.co/YPZWPBliZb,False,30919,10565,41638,392,False,3_1586855420773240832,photo,https://pbs.twimg.com/media/FgWkmQEXkAAXkDO.jpg,,,,,1055.0,,,,,,,,,,,,,[],[],[],
1586855421909909504,1164233616160899072,2022-10-30 22:59:49,es,"Presidente de Brasil
Felicitaciones 
#LulaPresidente2022 
Vuelve la Democracia!
Vuelve la alegría!
Por un país más justo!
#ForaBolsonaro 
@CELESTE_SUTECBA https://t.co/NubP6cRgN2",1586855421909909504,False,everyone,,"[37, 122]","[56, 136]","['LulaPresidente2022', 'ForaBolsonaro']",,,,"[14, 38, 123]","[19, 55, 135]","[0.9643, 0.9099, 0.7969]","['Place', 'Person', 'Person']","['Brasil', 'LulaPresidente2022', 'ForaBolsonaro']",[155],[178],['https://t.co/NubP6cRgN2'],['https://twitter.com/CELESTE_SUTECBA/status/1586855421909909504/photo/1'],['pic.twitter.com/NubP6cRgN2'],['3_1586855418931908608'],[138],[154],['CELESTE_SUTECBA'],,,['1586855421909909504'],5,0,8,0,5,True,2022-10-30T23:29:49.000Z,CELESTE-SUTECBA - Municipales de Ciudad de Bs.As.,CELESTE_SUTECBA,2019-08-21T17:52:07,Sitio de Noticias y Opinión: Agrupación CELESTE de Trabajadores Municipales del GCBA - Sindicato Único de Trabajadores del Estado de la Ciudad de Buenos Aires.,Ciudad Autónoma de Buenos Aire,,https://pbs.twimg.com/profile_images/1564251337214365701/TMwRq-U-_normal.jpg,https://t.co/9qLIfhPSIU,False,1869,3392,10905,1,False,3_1586855418931908608,photo,https://pbs.twimg.com/media/FgWkmJNXEAAVCWZ.jpg,,,,,730.0,,,,,,,,,,,,,[],[],[],
